Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
clay-plant-pot,Clay Plant Pot,<p>Classic blown clay pot for plants</p>,Company 123,,Outdoor,"Plants, Pot",true,Size,Regular,,,,,,,,SKU_9999,0.0,,deny,manual,9.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0976/2819/3061/files/clay-plant-pot-linhnguyen4-1.jpg?v=1778661413,1,Clay Plant Pot - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
clay-plant-pot,,,,,,,,,Large,,,,,,,,,0.0,,deny,manual,15.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/clay-plant-pot-linhnguyen4-2.jpg?v=1778661413,2,Clay Plant Pot - linhnguyen4,,,,,,,,,,,,,,kg,,,,,,
copper-light,Copper Light,<p>Stylish copper bedside light</p>,Company 123,,Indoor,"Bedroom, Copper",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,59.99,75.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/copper-light-linhnguyen4-1.jpg?v=1778661411,1,Copper Light - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
cream-sofa,Cream Sofa,<p>Comfortable cream sofa with wooden base</p>,Company 123,,Indoor,"Couch, Wood",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,500.00,750.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/cream-sofa-linhnguyen4-1.jpg?v=1778661411,1,Cream Sofa - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
antique-drawers,Antique Drawers,<p>Antique wooden chest of drawers</p>,Company 123,,Indoor,"Antique, Bedroom",true,Size,S,,,,,,,,,0.0,,deny,manual,250.00,300.00,true,true,,,,,"",,,,false,,,,,,,,,,,,,kg,,,,,,active
antique-drawers,,,,,,,,,M,,,,,,,,,0.0,,deny,manual,250.00,300.00,true,true,,,,,"",,,,,,,,,,,,,,,,,kg,,,,,,
antique-drawers,,,,,,,,,L,,,,,,,,,0.0,,deny,manual,250.00,300.00,true,true,,,,,"",,,,,,,,,,,,,,,,,kg,,,,,,
white-bed-clothes,White Bed Clothes,<p>Sleek white bed clothes</p>,Company 123,,Indoor,Bed,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,29.99,35.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/white-bed-clothes-linhnguyen4-1.jpg?v=1778661408,1,White Bed Clothes - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
pink-armchair,Pink Armchair,<p>Stylish pink armchair</p>,Company 123,,Indoor,Chair,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,750.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/pink-armchair-linhnguyen4-1.jpg?v=1778661407,1,Pink Armchair - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
wooden-outdoor-table,Wooden Outdoor Table,<p>Chic wooden outdoor garden table</p>,Rustic LTD,,Outdoor,"Garden, Wood",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,99.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0976/2819/3061/files/wooden-outdoor-table-linhnguyen4-1.jpg?v=1778661406,1,Wooden Outdoor Table - linhnguyen4,false,,,,,,,,,,,,,kg,,,,,,active
